"Terencana dan memiliki target yang jelas","Spontan, Fleksibel, tidak terikat waktu"
"Nyaman berkomunikasi dengan menulis","Nyaman berkomunikasi secara verbal"
"Tidak menyukai hal-hal yang bersifat mendadak dan di luar perencanaan","Tidak mempermasalahkan perubahan rencana secara tiba-tiba"
"Objektif","Subjektif"
"Menemukan dan mengembangkan ide dengan merenung","Menemukan dan mengembangkan ide dengan berdikusi"
"Bergerak dari gambaran umum baru ke detail","Bergerak dari detail ke gambaran umum sebagai kesimpulan akhir"
"Berorientasi pada dunia internal (memori, pemikiran, ide)","Berorientasi pada dunia eksternal (kegiatan, orang)"
"Berbicara mengenai visi masa depan dan konsep-konsep mengenai visi tersebut","Berbicara mengenai masalah yang dihadapi sekarang dan langkah-langkah praktis mengatasinya"
"Diyakinkan dengan penjelasan yang masuk akal","Diyakinkan dengan penjelasan yang menyentuh perasaan"
