"Memilih fakta lebih penting daripada ide inspiratif","Memilih ide inspiratif lebih penting daripada fakta"
"Memperhatikan hal-hal baru dan siap menyesuaikan diri serta mengubah target","Fokus pada target dan mengabaikan hal-hal baru"
"Berinisiatif bila situasi memaksa atau berhubungan dengan kepentingan sendiri","Berinisiatif tinggi hampir dalam berbagai hal meskipun tidak berhubungan dengan dirinya"
"Kontinuitas dan stabilitas lebih diutamakan","Perubahan dan variasi lebih diutamakan"
"Pendirian masih bisa berubah tergantung situasi nantinya","Berpegang teguh pada pendirian"
"Bertindak step by step dengan timeframe yang jelas","Bertindak dengan semangat tanpa menggunakan timeframe"
"Mengatur orang lain dengan tata tertib agar tujuan tercapai","Membiarkan orang lain bertindak bebas asalkan tujuan tercapai"
"Lebih memilih tempat yang tenang dan pribadi untuk berkonsentrasi","Lebih memilih tempat yang ramai dan banyak interaksi / aktifitas"
"Menganalisa","Berempati"
